"sample","file","treatment","time"
"sample_11","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A11_S59_L005_R2_001.fastq.gz","treated","t2"
"sample_11","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A11_S59_L006_R1_001.fastq.gz","treated","t2"
"sample_13","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A13_S10_L001_R1_001.fastq.gz","treated","t1"
"sample_13","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A13_S65_L005_R1_001.fastq.gz","treated","t1"
"sample_13","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A13_S65_L005_R2_001.fastq.gz","treated","t1"
"sample_13","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A13_S65_L006_R1_001.fastq.gz","treated","t1"
"sample_13","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A13_S65_L006_R2_001.fastq.gz","treated","t1"
"sample_13","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A13_S10_L001_R2_001.fastq.gz","treated","t1"
"sample_13","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A13_S10_L002_R1_001.fastq.gz","treated","t1"
"sample_13","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A13_S10_L002_R2_001.fastq.gz","treated","t1"
"sample_14","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A14_S66_L005_R1_001.fastq.gz","treated","t2"
"sample_14","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A14_S11_L001_R1_001.fastq.gz","treated","t2"
"sample_14","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A14_S11_L001_R2_001.fastq.gz","treated","t2"
"sample_14","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A14_S11_L002_R1_001.fastq.gz","treated","t2"
"sample_14","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A14_S11_L002_R2_001.fastq.gz","treated","t2"
"sample_14","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A14_S66_L006_R2_001.fastq.gz","treated","t2"
"sample_14","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A14_S66_L005_R2_001.fastq.gz","treated","t2"
"sample_14","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A14_S66_L006_R1_001.fastq.gz","treated","t2"
"sample_15","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A15_S12_L001_R2_001.fastq.gz","treated","t1"
"sample_15","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A15_S12_L001_R1_001.fastq.gz","treated","t1"
"sample_15","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A15_S67_L005_R1_001.fastq.gz","treated","t1"
"sample_15","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A15_S12_L002_R1_001.fastq.gz","treated","t1"
"sample_15","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A15_S12_L002_R2_001.fastq.gz","treated","t1"
"sample_15","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A15_S67_L006_R2_001.fastq.gz","treated","t1"
"sample_15","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A15_S67_L005_R2_001.fastq.gz","treated","t1"
"sample_15","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A15_S67_L006_R1_001.fastq.gz","treated","t1"
"sample_2","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A2_S57_L005_R1_001.fastq.gz","untreated","t1"
